R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Tyron Woodley,Jay Hieron,Herb Dean,2013-02-02,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,3,0,0,3.333333333,2.666666667,1.666666667,1,49.33333333,13.33333333,3,1.333333333,44.33333333,7.666666667,0,6.333333333,5.333333333,2.666666667,0,54,15.66666667,0.3933333333,1,5.666666667,3,0.25,65.33333333,25.66666667,0,3,3,2,5.666666667,3.333333333,39,13,7.333333333,4.666666667,45.33333333,15.66666667,0.6666666667,3.666666667,3.333333333,0,1,52,21,0.45,0.3333333333,1.666666667,0.6666666667,0.1666666667,76.66666667,42.33333333,7,555.6666667,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,170,36,30
Mike Stumpf,Pascal Krauss,Herb Dean,2013-01-26,"Chicago, Illinois, USA",Blue,FALSE,Welterweight,3,1,0,0,17,13,10.5,8,68,19.5,18,14,72,22,0,7.5,6.5,3.5,0,96.5,41.5,0.425,1,3.5,2,0.54,201.5,139,1,1,10.5,6,9.5,5,99.5,36.5,15,9,110,41.5,0.5,3.5,3,0,0.5,124,50.5,0.395,1,5.5,2.5,0.515,174,92.5,6,900,0,0,0,1,0,0,0,1,Orthodox,185.42,182.88,170,1,0,0,1,0,0,0,3,0,1,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,10,6,0,1,1,1,1,1,4,1,2,2,4,2,0,2,1,3,0,7,4,0.57,2,4,3,0.75,11,8,1,232,0,0,0,0,0,0,0,0,,177.8,180.34,170,25,26
Simeon Thoresen,David Mitchell,Herb Dean,2013-01-26,"Chicago, Illinois, USA",Blue,FALSE,Welterweight,3,2,0,0,4.5,1.5,3,2,62,12.5,4,3.5,56,11.5,0,8.5,5,0,0,69,18,0.455,3,1.5,1,0.33,110,56,0,2,4,2,2.5,1.5,34,10,27,16.5,55.5,22.5,0,4,3.5,8.5,1.5,63.5,28,0.45,4,6.5,6,0.925,90,49.5,6,900,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,1,0,0,11.5,11,10,10,45.5,13.5,5,3.5,47,14,0,2,2,1,0.5,60.5,27,0.43,1.5,2,0.5,0.125,85.5,49,1,1,6.5,4,7.5,6,56.5,14,2,1.5,57.5,17,0.5,2,0.5,0,0,66,21.5,0.35,0,0,0,0,107.5,56.5,3,353,0,0,0,0,0,1,0,1,Orthodox,185.42,200.66,170,33,28
Colton Smith,Mike Ricci,Steve Mazzagatti,2012-12-15,"Las Vegas, Nevada, USA",Red,TRUE,Welterweight,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Southpaw,182.88,195.58,155,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,180.34,155,26,25
Mike Pyle,James Head,Steve Mazzagatti,2012-12-15,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,0,2,0,10.33333333,8.666666667,14.33333333,11.66666667,44.66666667,16.33333333,1.666666667,1.333333333,49,19.66666667,0.3333333333,1.333333333,1,1.666666667,0.3333333333,60.66666667,29.33333333,0.4833333333,0.6666666667,0.3333333333,0.3333333333,0.3333333333,75.66666667,44.33333333,2,1,9.666666667,7,4.333333333,2.666666667,51,22.66666667,12.66666667,9.333333333,44,17,0,14.33333333,10.66666667,3.333333333,0,68,34.66666667,0.53,0.3333333333,7.666666667,2.333333333,0.4633333333,109,68.33333333,7,662,0,0,1,0,0,1,0,2,Orthodox,185.42,185.42,170,0,2,0,5.111111111,3.888888889,5.222222222,3.888888889,33.88888889,11.33333333,6.888888889,4.888888889,36.22222222,12.66666667,0.3333333333,4.666666667,3.555555556,1,0.1111111111,46,20.11111111,0.42,0.8888888889,3.666666667,1.222222222,0.2822222222,83.33333333,53.11111111,3,3,9.777777778,6.111111111,5.666666667,3.444444444,40.11111111,12.44444444,8.333333333,4.777777778,38.77777778,10.66666667,0.1111111111,5.555555556,3.888888889,0.4444444444,0,54.11111111,20.66666667,0.4,0.4444444444,3,0.6666666667,0.3944444444,68.88888889,34.22222222,18,504.3333333,0,0,0,2,2,2,0,6,Orthodox,182.88,187.96,170,28,37
TJ Waldburger,Nick Catone,Herb Dean,2012-12-15,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,1,0,0,7.666666667,5.5,10.33333333,6.5,36.16666667,10.16666667,11.5,9.166666667,46.66666667,17.16666667,0,3.666666667,3.166666667,2.5,0,58,25.83333333,0.4983333333,0.5,6.5,2.833333333,0.5516666667,90.5,55,2,3,8.333333333,6.833333333,13.33333333,9.5,53.16666667,13.5,3.666666667,2.5,57.83333333,15,0,4,3.666666667,0.3333333333,0.1666666667,70.16666667,25.5,0.4816666667,1.5,3.166666667,0.5,0.05333333333,84.66666667,37.66666667,16,718.5,0,0,1,1,0,1,0,3,Southpaw,182.88,182.88,185,1,0,0,2.4,2,2.4,1.8,10.6,4.4,10.6,6.8,19,9,0.2,2.2,2,3.4,0.6,23.6,13,0.592,2.8,2.8,2.2,0.72,35.6,23.2,2,2,4,2.6,3.2,2.4,9,4.2,6.6,5.6,12.8,8.4,0.2,2,1.2,0,0,18.8,12.2,0.53,1.4,1.6,0.8,0.212,40.4,31.4,9,436.4,0,0,0,1,0,2,0,3,Orthodox,180.34,190.5,170,31,24
Benny Alloway,Manuel Rodriguez,Steve Perceval,2012-12-14,"Gold Coast, Queensland, Australia",Red,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,27,31
Mike Pierce,Seth Baczynski,Marc Goddard,2012-12-14,"Gold Coast, Queensland, Australia",Red,FALSE,Welterweight,3,0,4,0,9.8,5,13.2,8.6,47.6,10.2,8.8,5.2,56,17.2,0.4,3.8,1.8,0.6,0,69.6,24,0.352,1,2.8,0.4,0.08,84.8,35.6,4,1,10,8.6,6.8,5,30.4,11.2,5.4,4,28.2,8.6,0,4.4,3,0.8,0.4,42.6,20.2,0.472,0,2.8,1.4,0.384,70.8,46.2,11,552.8,0,0,1,0,1,2,0,4,Orthodox,190.5,187.96,170,0,2,0,9.5,7.2,16.1,10.5,53.1,16.3,13,9.7,64.3,22.2,0.2,8.4,7.1,1.1,0,82.2,36.5,0.48,0.3,5.5,2.4,0.355,133.7,84,3,3,10.5,7.8,17.4,11,56.1,17.4,1.1,1,59.6,18.6,0.1,4.5,3,0.2,0,74.6,29.4,0.395,0.2,2.4,0.8,0.222,99.3,50.7,28,774.9,0,0,1,3,2,1,0,7,Orthodox,172.72,177.8,170,31,32
Robert Whittaker,Bradley Scott,Steve Perceval,2012-12-14,"Gold Coast, Queensland, Australia",Red,TRUE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,,185.42,193.04,170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,185,23,21
BJ Penn,Rory MacDonald,Herb Dean,2012-12-08,"Seattle, Washington, USA",Blue,FALSE,Welterweight,3,0,3,0,5.4,2.6,6.6,3,29,10.8,23.2,16.2,48.8,23.4,0,4.6,4,2.2,0.2,58.8,30,0.514,0.8,4.6,2.8,0.546,75.2,45,3,1,7.6,3.8,11.4,6.6,36.6,9.6,9.8,6.4,40.4,11.6,0,9.8,7.2,1.2,0.2,57.8,22.6,0.32,0.2,3.2,0.4,0.1,95.6,56.2,10,546.8,0,0,0,1,2,1,0,4,Orthodox,182.88,193.04,170,2,0,0,7.571428571,6.619047619,12.0952381,9.142857143,55.28571429,23.14285714,10.33333333,7.428571429,67.33333333,30.57142857,0.2857142857,2.80952381,2.523809524,2.047619048,0.04761904762,77.71428571,39.71428571,0.5814285714,0.5714285714,2.047619048,1.238095238,0.3914285714,116.7142857,77.28571429,3,9,11.33333333,8.047619048,10.42857143,6.619047619,69.47619048,24.04761905,10.28571429,6.904761905,70.80952381,23.57142857,0,8.047619048,5.952380952,0.9047619048,0.4285714286,90.19047619,37.57142857,0.4004761905,0.09523809524,6.380952381,1.380952381,0.2623809524,138.1904762,82,62,825.2857143,11,0,0,1,6,4,1,12,Orthodox,175.26,177.8,155,23,33
Mike Swick,Matt Brown,Dan Miragliotta,2012-12-08,"Seattle, Washington, USA",Blue,FALSE,Welterweight,3,0,3,0,11.38461538,9.538461538,10.69230769,8.692307692,34.38461538,16.15384615,8.692307692,6,36.46153846,16.76923077,0.3846153846,5.923076923,4.538461538,0.9230769231,0.2307692308,53.76923077,30.84615385,0.5869230769,1.153846154,2.384615385,1.076923077,0.42,78.61538462,52.84615385,3,5,5.230769231,3.923076923,6.615384615,3.923076923,38.61538462,14.15384615,4.615384615,3.076923077,39.76923077,13.46153846,0,4.846153846,3.769230769,1.307692308,0.3846153846,49.84615385,21.15384615,0.4084615385,0.9230769231,5.769230769,2,0.2738461538,67.07692308,35.76923077,29,543.0769231,0,0,0,2,5,1,0,8,Orthodox,182.88,190.5,170,0,1,0,6.769230769,4.846153846,12.30769231,8.076923077,34.69230769,9.307692308,5.230769231,2.538461538,38,9.307692308,0.3076923077,7.461538462,5.769230769,1,0.07692307692,52.23076923,19.92307692,0.45,0.3846153846,1.153846154,0.6153846154,0.34,71.53846154,37.38461538,5,3,5.692307692,3.846153846,11.15384615,9,24.46153846,7,3.538461538,2.615384615,26.38461538,8.923076923,0.07692307692,7.076923077,5.846153846,0.6153846154,0,39.15384615,18.61538462,0.4130769231,0.3846153846,2.769230769,0.9230769231,0.2607692308,60,37.84615385,26,474.1538462,0,1,0,2,5,2,0,10,Orthodox,185.42,195.58,170,31,33
Georges St-Pierre,Carlos Condit,Yves Lavigne,2012-11-17,"Montreal, Quebec, Canada",Red,TRUE,Welterweight,5,0,5,0,15,10.33333333,9.5,3.666666667,95.83333333,39,15.66666667,10.5,83.33333333,25.5,0.3333333333,22.66666667,17.33333333,2.833333333,0.6666666667,121,53.16666667,0.415,1,1.333333333,0.6666666667,0.2083333333,169.5,97,5,1,13.83333333,9.166666667,5.666666667,3.333333333,66.66666667,25.33333333,8.166666667,4.333333333,62.66666667,21.33333333,0.3333333333,4,2.5,0.8333333333,1,80.5,33,0.3483333333,1.5,3.5,2.166666667,0.575,95.16666667,45.66666667,16,773,1,0,1,1,3,0,0,5,Orthodox,187.96,190.5,170,0,9,0,13.05555556,9.888888889,5.055555556,3.833333333,68,30.22222222,28.66666667,20.22222222,77.33333333,35.61111111,0.4444444444,11.33333333,8.777777778,5.944444444,0.2777777778,101.7222222,54.27777778,0.5644444444,1.222222222,4.888888889,3.777777778,0.7427777778,163.2222222,112,9,2,6.944444444,4.777777778,4.444444444,2.611111111,61.94444444,12.61111111,3.5,1.833333333,57.61111111,9.166666667,0.1111111111,5.333333333,3.111111111,0.3888888889,0.1666666667,69.88888889,17.05555556,0.2883333333,0.3888888889,2.777777778,0.3333333333,0.1077777778,91.38888889,36.72222222,53,844,11,0,1,8,5,2,0,16,Orthodox,180.34,193.04,185,28,31
Johny Hendricks,Martin Kampmann,Dan Miragliotta,2012-11-17,"Montreal, Quebec, Canada",Red,FALSE,Welterweight,3,0,3,0,7.066666667,5.4,10.86666667,6.933333333,52.73333333,18.26666667,7.4,5.4,62.4,24.06666667,0.3333333333,1.533333333,1.133333333,1.4,0.2,71,30.6,0.436,1.4,2.066666667,0.8666666667,0.32,84,42.4,4,4,7.266666667,5.4,11,5.8,58.33333333,19.26666667,3.066666667,1.666666667,62,18.93333333,0.2666666667,3.133333333,2.4,1.333333333,0.06666666667,72.4,26.73333333,0.382,0.3333333333,4.2,0.9333333333,0.1833333333,83.13333333,35.93333333,31,547.0666667,0,0,2,2,2,5,0,11,Orthodox,182.88,182.88,170,0,4,0,4.888888889,3.888888889,17,12.55555556,36.66666667,14.44444444,5.222222222,4,46.77777778,20.66666667,0.5555555556,7.222222222,6.444444444,1.111111111,0,58.88888889,31,0.6144444444,0.5555555556,5.333333333,2.666666667,0.2722222222,81.33333333,51.77777778,4,1,11.22222222,8.333333333,16.77777778,10.11111111,37.44444444,13.11111111,1.555555556,1.444444444,41.22222222,13.33333333,0,3.333333333,3,0.2222222222,0,55.77777778,24.66666667,0.3566666667,0.1111111111,2.555555556,0.7777777778,0.2011111111,72.33333333,40.22222222,20,552.8888889,0,1,2,1,4,0,0,8,Southpaw,175.26,175.26,185,30,29
Matthew Riddle,John Maguire,Yves Lavigne,2012-11-17,"Montreal, Quebec, Canada",Red,FALSE,Welterweight,3,1,0,0,3,2.666666667,3.666666667,3,18.66666667,7,6.333333333,5.333333333,24,11,0,1.666666667,1.666666667,4,0.3333333333,28.66666667,15.33333333,0.6233333333,1,5,3.333333333,0.6633333333,62,45.33333333,2,1,11,7,7.666666667,4.666666667,52,15,15,8.333333333,55.66666667,13.66666667,0.3333333333,8,7.333333333,1.666666667,0.3333333333,74.66666667,28,0.4433333333,0.6666666667,1.333333333,0.3333333333,0.1666666667,120.6666667,68,8,793.3333333,0,0,0,1,0,1,0,2,Southpaw,175.26,175.26,155,1,0,0,17.3,13.8,18.2,13.3,55.3,13.5,24.8,16.7,71.4,21.3,0,9.6,8.4,3.5,0.1,98.3,43.5,0.511,0.6,6,3.3,0.563,178.2,115,3,4,11.6,7.7,12.7,8.1,61.7,24.1,11.4,7.1,66.4,25.2,0.1,7.8,6.4,0.9,0.3,85.8,39.3,0.455,0.3,2.1,0.3,0.166,119.7,70.8,29,821.4,0,0,1,3,1,0,0,6,Southpaw,185.42,187.96,170,29,26
Dong Hyun Kim,Paulo Thiago,Marc Goddard,2012-11-10,"Macau, China",Red,FALSE,Welterweight,3,1,0,0,3.875,3.125,5.625,3.875,27.75,8.75,5.75,2.75,33.125,10.25,0.5,2.125,2,1.875,0.25,39.125,15.375,0.335,1.5,3,1.25,0.2425,49.125,22.5,2,4,4.75,2.75,3.625,1.875,41.375,8.5,12.125,7.625,46.125,12.25,0.125,6.25,3,2.125,0.125,57.125,18,0.375,0.625,2.5,1.125,0.35375,94.5,52.875,19,645.625,0,0,0,2,1,1,0,4,Orthodox,180.34,185.42,170,1,0,0,2,1.777777778,6.333333333,6.222222222,25.11111111,9.222222222,17.22222222,12.11111111,40.22222222,20.66666667,0.1111111111,6.444444444,5.111111111,3.222222222,0.2222222222,48.66666667,27.55555556,0.5577777778,0.4444444444,5.333333333,2.666666667,0.5566666667,73.77777778,50.55555556,3,3,8.444444444,6.222222222,10.55555556,7.888888889,36,9.888888889,3.444444444,2.555555556,35.11111111,9.666666667,0.1111111111,6.444444444,4.444444444,0.6666666667,0.2222222222,50,20.33333333,0.4522222222,0.5555555556,3.444444444,0.6666666667,0.2433333333,71.77777778,40.22222222,23,694.4444444,0,0,1,4,1,0,0,6,Southpaw,187.96,193.04,170,31,30
Demian Maia,Rick Story,Mario Yamasaki,2012-10-13,"Rio de Janeiro, Brazil",Red,FALSE,Welterweight,3,0,1,0,21.2,15.9,17.7,11.6,78.7,22.6,15.1,9.6,84.9,23,0.1,5.4,4.9,1.7,0.4,111.5,43.8,0.39,1.3,5.6,2.9,0.605,143.6,74.2,6,3,8.4,5.5,10.5,5.8,59.7,15.6,1.8,1.2,60.1,14.4,0,3.5,2.7,1.4,0.2,72,22.6,0.348,1,5.5,2.2,0.314,94.4,44.3,28,794.4,0,0,2,3,1,1,0,7,Southpaw,175.26,180.34,170,0,1,0,5.785714286,4,5.714285714,3.285714286,32.07142857,9,10.64285714,7.428571429,40.5,14.14285714,0,2.142857143,1.571428571,2.642857143,0.2142857143,48.42857143,19.71428571,0.4878571429,0.9285714286,6.285714286,1.857142857,0.3371428571,79.42857143,44.71428571,5,4,5.142857143,3,3.357142857,2.071428571,39.85714286,13.42857143,6.857142857,4.071428571,38.21428571,11.28571429,0.1428571429,6.714285714,5.285714286,0.3571428571,0.2857142857,50.07142857,19.57142857,0.4614285714,0.3571428571,1.214285714,0.5714285714,0.1485714286,64.71428571,32.78571429,33,616.3571429,1,0,0,4,1,5,0,10,Southpaw,185.42,182.88,170,28,34
Jon Fitch,Erick Silva,Marc Goddard,2012-10-13,"Rio de Janeiro, Brazil",Red,FALSE,Welterweight,3,0,1,0,4.333333333,3.333333333,1,1,5.666666667,3,4.333333333,3.333333333,6.666666667,4,0.3333333333,0,0,0.3333333333,0,11,7.333333333,0.65,0.6666666667,0,0,0,13.66666667,9.666666667,1,1,1,0.3333333333,0.6666666667,0.3333333333,5.666666667,2,0,0,4.666666667,1.333333333,0,0.6666666667,0.6666666667,0,0,6.333333333,2.333333333,0.2733333333,0,3,0.3333333333,0.04666666667,12.33333333,6,3,114,0,0,0,0,1,1,0,2,Orthodox,182.88,187.96,170,2,0,0,9.5625,7.375,12.625,7.5,32.125,11,22.625,15.375,51.3125,21.375,0.125,6.5,5.125,2.5,0.125,67.375,33.875,0.4875,0.6875,6.0625,3.25,0.51125,164.75,123.3125,8,3,5.4375,4,9.9375,7.1875,31.375,10.375,5.625,3.6875,35.625,12,0.25,5.875,5.25,0.625,0.3125,46.9375,21.25,0.525625,1.4375,2.4375,1.0625,0.264375,63.9375,36.8125,44,783.625,1,0,1,8,1,3,0,13,Orthodox,182.88,193.04,170,28,34
Sergio Moraes,Renee Forte,Mario Yamasaki,2012-10-13,"Rio de Janeiro, Brazil",Red,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,155,1,0,0,6,6,12,6,61,32,0,0,60,25,0,7,7,0,0,73,38,0.52,0,2,0,0,74,39,0,1,30,14,3,3,99,35,9,4,80,27,2,1,1,0,0,111,42,0.37,0,0,0,0,124,46,3,900,1,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,25,30
Aaron Simpson,Mike Pierce,Darryl Guthmiller,2012-10-05,"Minneapolis, Minnesota, USA",Blue,FALSE,Welterweight,3,0,1,0,10.44444444,7.888888889,17.44444444,11.44444444,57.33333333,17.44444444,14.22222222,10.55555556,69.33333333,23.77777778,0.1111111111,9.222222222,7.777777778,1.222222222,0,89,39.44444444,0.4811111111,0.3333333333,5.888888889,2.666666667,0.3944444444,145,91,3,3,10.44444444,8.222222222,17.11111111,10.66666667,60.11111111,18.22222222,0.7777777778,0.6666666667,62.66666667,18.11111111,0,4.888888889,3.222222222,0.1111111111,0,78,29.55555556,0.3688888889,0.1111111111,2.555555556,0.7777777778,0.1355555556,102.3333333,50.77777778,26,824.4444444,0,0,1,3,1,1,0,6,Orthodox,172.72,177.8,170,0,1,0,13.1,9.3,23.2,17,43.4,15.4,15,10.2,57.6,23,0.5,10.9,10.3,1.1,0,81.6,42.6,0.55,0.3,9.1,3.1,0.391,119.3,75,3,3,6.5,5.1,22.5,14.3,45.8,14.4,2.6,2.3,55.7,18.4,0,8.7,7.5,0.1,0.1,70.9,31,0.445,0.2,2.8,0.5,0.099,88.2,47.2,26,727.4,0,0,1,4,2,0,0,7,Orthodox,182.88,185.42,170,32,38
Jake Ellenberger,Jay Hieron,Josh Rosenthal,2012-10-05,"Minneapolis, Minnesota, USA",Red,FALSE,Welterweight,3,2,0,0,2.5,2.5,1.5,1,11.5,4.5,4.5,2,13,3,0,2,2,4,0,17.5,7.5,0.465,1.5,7.5,4.5,0.375,28.5,17,0,2,3,2.5,7,4.5,22.5,10,8,4.5,32,14.5,1,2.5,2,0,1.5,37.5,19,0.525,0.5,0.5,0,0,73.5,50,4,383.5,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,1,0,0,7.125,5.125,8.5,5.375,34.375,13.875,13.375,6.375,46.375,18.25,0.875,2.75,2.25,0.625,0.375,56.25,25.625,0.455,0.375,3.375,2,0.53875,78.25,42.75,6,2,5.375,3.25,4.875,2.75,34.875,8.625,5.25,3.125,36.125,8.875,0.125,3.5,2.375,1.375,0.375,45,14.5,0.33875,0.625,1.5,0.125,0.0625,77.875,44.25,18,547.25,0,0,1,1,3,0,1,6,Orthodox,175.26,180.34,170,36,27
Josh Neer,Justin Edwards,Nick Gamst,2012-10-05,"Minneapolis, Minnesota, USA",Blue,FALSE,Welterweight,3,1,0,0,16,13,22.33333333,15.33333333,43.66666667,16,9.666666667,5.666666667,54,19.66666667,0.3333333333,5.666666667,4.333333333,2.333333333,0,75.66666667,37,0.4833333333,1,11.66666667,3,0.1666666667,112,67,1,2,11.33333333,11,17,14.66666667,37.33333333,13.66666667,15.33333333,13.66666667,56,28.66666667,0,2.333333333,2.333333333,4.333333333,1,69.66666667,42,0.63,1.333333333,4.333333333,3.333333333,0.8866666667,115,82.33333333,9,900,0,0,0,1,0,0,0,1,Orthodox,177.8,177.8,155,1,0,0,5.846153846,4.692307692,15.69230769,9.846153846,39.92307692,13.07692308,14.15384615,8.615384615,59.92307692,23.61538462,0.07692307692,4,3.230769231,0.3846153846,0.1538461538,69.76923077,31.53846154,0.3961538462,1,1.769230769,0.7692307692,0.2238461538,92,52.38461538,2,7,10.46153846,7.846153846,15.76923077,10.84615385,48.30769231,14,8.615384615,3.769230769,59.38461538,18.23076923,0.2307692308,2.846153846,2.538461538,1.692307692,0.07692307692,72.69230769,28.61538462,0.4146153846,0.5384615385,4.461538462,2.692307692,0.5430769231,112.5384615,62.38461538,29,619.4615385,0,0,0,2,0,3,1,6,Orthodox,180.34,182.88,170,29,29
Che Mills,Duane Ludwig,Herb Dean,2012-09-29,"Nottingham, England, United Kingdom",Red,FALSE,Welterweight,3,2,0,0,18.125,12.375,13.75,9.75,74.75,26.125,3.125,2.25,69.5,22.625,0.125,4,3.125,0,0,91.625,38.125,0.46,0,0.75,0.125,0.0625,99.5,44.5,2,4,9.875,4.5,3.5,2.125,52.125,20.625,7.375,3.25,43.625,13.625,0.5,9.5,7.875,1,0,63,26,0.3025,0.25,3.25,0.875,0.21625,71.375,33.5,14,415.125,0,0,1,2,1,0,0,4,Orthodox,177.8,177.8,170,1,0,0,0,0,2.5,2,13,5,3.5,1.5,15.5,5.5,1,3.5,3,0,0,19,8.5,0.475,0,0,0,0,27,16,1,1,1,1,0,0,9.5,2,30,22,36.5,22.5,0,2,0.5,4,0,39.5,24,0.39,0,1.5,1,0.5,54.5,38,3,240,0,0,0,0,1,0,0,1,Orthodox,185.42,193.04,170,34,30
